logth logp Brem DY
-7.075 2.125 6.4809e-12 0.0
-7.075 2.175 8.15932e-12 0.0
-7.075 2.225 1.02721e-11 0.0
-7.075 2.275 1.29317e-11 0.0
-7.075 2.325 1.62794e-11 0.0
-7.075 2.375 2.04934e-11 0.0
-7.075 2.425 2.57978e-11 0.0
-7.075 2.475 3.24745e-11 0.0
-7.075 2.525 4.08788e-11 0.0
-7.075 2.575 5.14573e-11 0.0
-7.075 2.625 6.47726e-11 0.0
-7.075 2.675 8.1533e-11 0.0
-7.075 2.725 1.0263e-10 0.0
-7.075 2.775 1.29185e-10 0.0
-7.075 2.825 1.62613e-10 0.0
-7.075 2.875 2.04695e-10 0.0
-7.075 2.925 2.57673e-10 0.0
-7.075 2.975 3.24378e-10 0.0
-7.075 3.025 4.08377e-10 0.0
-7.075 3.075 5.14177e-10 0.0
-7.075 3.125 6.47474e-10 0.0
-7.075 3.175 8.15481e-10 0.0
-7.075 3.225 1.02735e-09 0.0
-7.075 3.275 1.29472e-09 0.0
-7.075 3.325 1.63246e-09 0.0
-7.075 3.375 2.05967e-09 0.0
-7.075 3.425 2.601e-09 0.0
-7.075 3.475 3.28865e-09 0.0
-7.075 3.525 4.16508e-09 0.0
-7.075 3.575 5.28729e-09 0.0
-7.075 3.625 6.73339e-09 0.0
-7.075 3.675 8.61351e-09 0.0
-7.075 3.725 1.10886e-08 0.0
-7.075 3.775 1.44055e-08 0.0
-7.075 3.825 1.89651e-08 0.0
-7.075 3.875 2.54716e-08 0.0
-7.075 3.925 3.52894e-08 0.0
-7.075 3.975 5.14493e-08 0.0
-7.075 4.025 8.22362e-08 0.0
-7.075 4.075 1.60774e-07 0.0
-7.075 4.125 7.0047e-07 0.0
-7.075 4.175 0.0 0.0
-7.075 4.225 0.0 0.0
-7.075 4.275 0.0 0.0
-7.075 4.325 0.0 0.0
-7.075 4.375 0.0 0.0
-7.075 4.425 0.0 0.0
-7.075 4.475 0.0 0.0
-7.075 4.525 0.0 0.0
-7.075 4.575 0.0 0.0
-7.075 4.625 0.0 0.0
-7.075 4.675 0.0 0.0
-7.075 4.725 0.0 0.0
-7.075 4.775 0.0 0.0
-7.075 4.825 0.0 0.0
-7.075 4.875 0.0 0.0
-7.075 4.925 0.0 0.0
-7.075 4.975 0.0 0.0
-7.025 -1.975 0.0 0.0
-7.025 -1.925 0.0 0.0
-7.025 -1.875 0.0 0.0
-7.025 -1.825 0.0 0.0
-7.025 -1.775 0.0 0.0
-7.025 -1.725 0.0 0.0
-7.025 -1.675 0.0 0.0
-7.025 -1.625 0.0 0.0
-7.025 -1.575 0.0 0.0
-7.025 -1.525 0.0 0.0
-7.025 -1.475 0.0 0.0
-7.025 -1.425 0.0 0.0
-7.025 -1.375 0.0 0.0
-7.025 -1.325 0.0 0.0
-7.025 -1.275 0.0 0.0
-7.025 -1.225 0.0 0.0
-7.025 -1.175 0.0 0.0
-7.025 -1.125 0.0 0.0
-7.025 -1.075 0.0 0.0
-7.025 -1.025 0.0 0.0
-7.025 -0.975 0.0 0.0
-7.025 -0.925 0.0 0.0
-7.025 -0.875 0.0 0.0
-7.025 -0.825 0.0 0.0
-7.025 -0.775 0.0 0.0
