logth logp DY Brem
-7.125 4.225 0.0 0.00184579
-7.125 4.275 0.0 0.002343
-7.125 4.325 0.0 0.00298609
-7.125 4.375 0.0 0.00382899
-7.125 4.425 4077.24 0.00495686
-7.125 4.475 0.0 0.00651649
-7.125 4.525 0.0 0.00879058
-7.125 4.575 0.0 0.0124024
-7.125 4.625 0.0 0.0189508
-7.125 4.675 0.0 0.0327982
-7.125 4.725 0.0 0.0
-7.125 4.775 0.0 0.0
-7.125 4.825 0.0 0.0
-7.125 4.875 0.0 0.0
-7.125 4.925 0.0 0.0
-7.125 4.975 0.0 0.0
-7.075 -1.975 0.0 0.0
-7.075 -1.925 0.0 0.0
-7.075 -1.875 0.0 0.0
-7.075 -1.825 0.0 0.0
-7.075 -1.775 0.0 0.0
-7.075 -1.725 0.0 0.0
-7.075 -1.675 0.0 0.0
-7.075 -1.625 0.0 0.0
-7.075 -1.575 0.0 0.0
-7.075 -1.525 0.0 0.0
-7.075 -1.475 0.0 0.0
-7.075 -1.425 0.0 0.0
-7.075 -1.375 0.0 0.0
-7.075 -1.325 0.0 0.0
-7.075 -1.275 0.0 0.0
-7.075 -1.225 0.0 0.0
-7.075 -1.175 0.0 0.0
-7.075 -1.125 0.0 0.0
-7.075 -1.075 0.0 0.0
-7.075 -1.025 0.0 0.0
-7.075 -0.975 0.0 0.0
-7.075 -0.925 0.0 0.0
-7.075 -0.875 0.0 0.0
-7.075 -0.825 0.0 0.0
-7.075 -0.775 0.0 0.0
-7.075 -0.725 0.0 0.0
-7.075 -0.675 0.0 0.0
-7.075 -0.625 0.0 0.0
-7.075 -0.575 0.0 0.0
-7.075 -0.525 0.0 0.0
-7.075 -0.475 0.0 0.0
-7.075 -0.425 0.0 0.0
-7.075 -0.375 0.0 0.0
-7.075 -0.325 0.0 0.0
-7.075 -0.275 0.0 0.0
-7.075 -0.225 0.0 0.0
-7.075 -0.175 0.0 0.0
-7.075 -0.125 0.0 0.0
-7.075 -0.075 0.0 0.0
-7.075 -0.025 0.0 0.0
-7.075 0.025 0.0 0.0
-7.075 0.075 0.0 0.0
-7.075 0.125 0.0 0.0
-7.075 0.175 0.0 0.0
-7.075 0.225 0.0 0.0
-7.075 0.275 0.0 2.17072e-11
-7.075 0.325 0.0 2.85435e-11
-7.075 0.375 0.0 3.73459e-11
-7.075 0.425 0.0 4.86286e-11
-7.075 0.475 0.0 6.30335e-11
-7.075 0.525 0.0 8.1363e-11
-7.075 0.575 0.0 1.04623e-10
-7.075 0.625 0.0 1.34075e-10
-7.075 0.675 0.0 1.71306e-10
-7.075 0.725 0.0 2.18312e-10
-7.075 0.775 0.0 2.77608e-10
-7.075 0.825 0.0 3.52357e-10
-7.075 0.875 0.0 4.46545e-10
-7.075 0.925 0.0 5.65192e-10
-7.075 0.975 0.0 7.14618e-10
-7.075 1.025 0.0 9.02781e-10
-7.075 1.075 0.0 1.1397e-09
-7.075 1.125 0.0 1.438e-09
-7.075 1.175 0.0 1.81356e-09
-7.075 1.225 0.0 2.28638e-09
-7.075 1.275 0.0 2.88165e-09
-7.075 1.325 0.0 3.63105e-09
-7.075 1.375 0.0 4.57449e-09
-7.075 1.425 0.0 5.76222e-09
-7.075 1.475 0.0 7.25748e-09
-7.075 1.525 0.0 9.13989e-09
-7.075 1.575 0.0 1.15097e-08
-7.075 1.625 0.0 1.44931e-08
-7.075 1.675 0.0 1.82489e-08
-7.075 1.725 0.0 2.29772e-08
-7.075 1.775 0.0 2.89296e-08
-7.075 1.825 0.0 3.64233e-08
-7.075 1.875 0.0 4.5857e-08
-7.075 1.925 0.0 5.77332e-08
-7.075 1.975 0.0 7.26842e-08
-7.075 2.025 0.0 9.1506e-08
-7.075 2.075 0.0 1.15201e-07
-7.075 2.125 0.0 1.4503e-07
-7.075 2.175 0.0 1.82581e-07
-7.075 2.225 0.0 2.29854e-07
-7.075 2.275 0.0 2.89365e-07
-7.075 2.325 0.0 3.64282e-07
-7.075 2.375 0.0 4.58592e-07
-7.075 2.425 0.0 5.77316e-07
-7.075 2.475 0.0 7.26772e-07
-7.075 2.525 0.0 9.14913e-07
-7.075 2.575 0.0 1.15175e-06
-7.075 2.625 0.0 1.44989e-06
-7.075 2.675 0.0 1.8252e-06
-7.075 2.725 0.0 2.29763e-06
-7.075 2.775 0.0 2.89232e-06
