logth logp Brem_QRA_L2.0 Brem_FWW Brem_QRA_L1.0 Brem_QRA_L1.5
-7.425 -0.225 0.0 0.0 0.0 0.0
-7.425 -0.175 0.0 0.0 0.0 0.0
-7.425 -0.125 0.0 3.5649832126067776e-08 0.0 0.0
-7.425 -0.075 0.0 4.6876986544963924e-08 0.0 0.0
-7.425 -0.025 0.0 6.133314656123056e-08 0.0 0.0
-7.425 0.025 0.0 7.986276556980145e-08 0.0 0.0
-7.425 0.075 0.0 1.0351977377070669e-07 0.0 0.0
-7.425 0.125 0.0 1.3362207930486645e-07 0.0 0.0
-7.425 0.175 0.0 1.7182105814650519e-07 0.0 0.0
-7.425 0.225 0.0 2.201896701977693e-07 0.0 0.0
-7.425 0.275 0.0 2.8133369101104027e-07 0.0 0.0
-7.425 0.325 0.0 3.585317165378681e-07 0.0 0.0
-7.425 0.375 0.0 4.559111419167008e-07 0.0 0.0
-7.425 0.425 0.0 5.786692903085162e-07 0.0 0.0
-7.425 0.475 0.0 7.333513471308182e-07 0.0 0.0
-7.425 0.525 0.0 9.281998465690989e-07 0.0 0.0
-7.425 0.575 0.0 1.173594314063371e-06 0.0 0.0
-7.425 0.625 0.0 1.4826044947349815e-06 0.0 0.0
-7.425 0.675 0.0 1.8716866546580306e-06 0.0 0.0
-7.425 0.725 9.776985771707005e-14 2.361560057539514e-06 3.8192050106900125e-16 9.788156167365835e-15
-7.425 0.775 1.9514873365933396e-13 2.97831030375976e-06 7.623173197682293e-16 1.9537237101478325e-14
-7.425 0.825 3.8953435962523637e-13 3.7547782848231043e-06 1.5216627763184519e-15 3.899824594497885e-14
-7.425 0.875 7.775840625965038e-13 4.732308697373772e-06 3.0375488081108797e-15 7.784828270705225e-14
-7.425 0.925 1.5522904809358444e-12 5.9629511851695775e-06 6.063913890908222e-15 1.5540954259861702e-13
-7.425 0.975 3.0990280011095106e-12 7.512231250950852e-06 1.2106280068808071e-14 3.102658444895464e-13
-7.425 1.025 6.187396854393203e-12 9.462638381279095e-06 2.4171283904836988e-14 6.194713178989242e-13
-7.425 1.075 1.2354462248707418e-11 1.1918016964265296e-05 4.8264056422381855e-14 1.2369241690390634e-12
-7.425 1.125 2.4670441545880775e-11 1.5009093575547935e-05 9.638007458027852e-14 2.4700384116022527e-12
-7.425 1.175 4.926873249039821e-11 1.8900434606135763e-05 1.924840637736071e-13 4.932961119163437e-12
-7.425 1.225 9.840379734675868e-11 2.37992042060588e-05 3.844604708319923e-13 9.852811008547898e-12
-7.425 1.275 1.9656373003617487e-10 2.9966188142144517e-05 7.680048133032446e-13 1.968188946159279e-11
-7.425 1.325 3.926914983391136e-10 3.7729669471426366e-05 1.5343985065192709e-12 3.932184991124982e-11
-7.425 1.375 7.846251417120848e-10 4.750289326430056e-05 3.0660680813305758e-12 7.857215325011896e-11
-7.425 1.425 1.5679855993430905e-09 5.980604794880196e-05 6.127779332261237e-12 1.5702859479090655e-10
-7.425 1.475 3.133993356584488e-09 7.529393019956712e-05 1.2249303606779784e-11 3.1388666377295865e-10
-7.425 1.525 6.2652403228159324e-09 9.479076121880249e-05 2.449158955839069e-11 6.275676994245704e-10
-7.425 1.575 1.252763273460955e-08 0.00011933400048996139 4.89814188050098e-11 1.2550252254938617e-09
-7.425 1.625 2.505533632388391e-08 0.00015022947833397536 9.798676043472103e-11 2.510499247804942e-09
-7.425 1.675 5.0123339317930446e-08 0.00018912076550666612 1.9608274357447727e-10 5.023382466250136e-09
-7.425 1.725 1.0029908603284207e-07 0.00023807644741499114 3.9252124544384864e-10 1.005483231602578e-08
-7.425 1.775 2.0076116195877018e-07 0.00029969991064330155 7.86061292840685e-10 2.0133116958865714e-08
